iter	Passed	Remaining
334	709	3316
335	710	3310
336	711	3304
337	713	3297
338	714	3291
339	716	3291
340	719	3289
341	720	3283
342	722	3283
343	724	3279
344	727	3280
345	730	3283
346	735	3293
347	736	3287
348	741	3296
349	743	3292
350	744	3288
351	746	3284
352	747	3278
353	752	3289
354	756	3293
355	758	3292
356	760	3288
357	762	3284
358	764	3281
359	765	3275
360	767	3274
361	768	3268
362	770	3262
363	771	3256
364	772	3250
365	777	3260
366	782	3270
367	784	3266
368	785	3262
369	788	3261
370	789	3255
371	791	3253
372	795	3257
373	797	3254
374	798	3248
375	799	3242
376	802	3243
377	805	3244
378	807	3241
379	808	3235
380	810	3232
381	820	3264
382	822	3260
383	825	3259
384	826	3255
385	827	3249
386	830	3249
387	835	3256
388	838	3258
389	839	3252
390	841	3249
391	843	3245
392	846	3246
393	848	3245
394	850	3241
395	851	3237
396	853	3232
397	854	3228
398	856	3225
399	862	3235
400	864	3233
401	868	3237
402	873	3246
403	875	3244
404	876	3238
405	878	3234
406	883	3243
407	885	3239
408	886	3233
409	888	3231
410	889	3226
411	894	3234
412	896	3228
413	897	3223
414	899	3221
415	900	3215
416	903	3214
417	907	3217
418	908	3214
419	910	3211
420	913	3212
421	915	3207
422	917	3206
423	919	3201
424	922	3202
425	923	3198
426	925	3193
427	926	3188
428	927	3183
429	928	3177
430	930	3173
431	935	3181
432	939	3186
433	943	3187
434	944	3182
435	947	3184
436	949	3181
437	951	3177
438	953	3174
439	955	3171
440	956	3167
441	958	3164
442	960	3161
443	961	3156
444	963	3151
445	965	3148
446	968	3149
447	970	3146
448	972	3145
449	974	3141
450	975	3136
451	978	3135
452	982	3141
453	984	3138
454	990	3146
